"LGC","Name","Sum","P","J","Y","K","N","H","M","E","D","U"
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,2
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,2
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,2
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,2
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,2
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11202,"熊谷市",166,61,9,91,83,86,30,43,0,0,1
11207,"秩父市",469,2,127,14,284,25,40,31,7,0,0
11209,"飯能市",698,97,533,25,166,167,215,66,43,0,0
11212,"東松山市",290,0,64,35,236,67,68,11,7,0,0
11215,"狭山市",74,2,43,0,13,17,39,2,0,0,0
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,2
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,2
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,2
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,3
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,3
11218,"深谷市",300,63,45,107,40,42,38,44,4,0,1
11225,"入間市",72,7,42,0,1,40,35,2,1,0,1
11227,"朝霞市",69,10,63,20,44,9,14,32,9,1,0
11228,"志木市",15,4,8,7,10,4,6,8,8,0,5
11229,"和光市",43,10,38,19,27,7,18,6,3,0,0
11230,"新座市",112,11,74,12,21,6,27,11,9,0,2
11235,"富士見市",59,23,50,14,21,10,32,33,27,0,0
11239,"坂戸市",158,3,40,21,78,70,71,15,17,0,0
11241,"鶴ヶ島市",104,10,57,4,22,34,38,17,22,0,4
11242,"日高市",189,0,86,0,7,15,66,61,1,0,1
11245,"ふじみ野市",45,20,24,0,10,14,15,15,22,2,0
11324,"三芳町",33,20,24,6,5,5,7,1,1,0,0
11326,"毛呂山町",118,1,64,2,15,3,46,13,2,0,0
11327,"越生町",83,0,17,2,3,3,3,6,0,0,0
11341,"滑川町",368,5,52,18,224,128,153,5,1,0,5
11342,"嵐山町",100,1,41,2,35,22,34,13,1,0,0
11343,"小川町",157,0,0,0,0,0,0,0,0,0,0
11346,"川島町",27,0,1,0,22,2,2,2,2,0,0
11347,"吉見町",155,0,38,22,126,73,81,26,3,0,0
11348,"鳩山町",219,0,23,2,9,184,186,14,16,0,1
11349,"ときがわ町",101,0,81,0,6,10,37,24,4,0,0
11361,"横瀬町",45,0,32,0,0,6,9,6,1,0,0
11362,"皆野町",178,0,100,1,49,8,9,29,27,0,3
11363,"長瀞町",137,0,93,0,33,36,54,2,0,0,0
11365,"小鹿野町",167,0,72,2,59,47,49,17,30,0,0
11369,"東秩父村",20,0,7,0,0,0,3,2,1,0,1
11408,"寄居町",254,1,94,3,48,41,120,25,12,0,0
3555859,NA,69621,17994,9251,28428,19805,20015,11127,12966,797,3,322
