"JASID","LGC","Name","Site_no","SiteName","SiteType","Lat","Lon","P","J","Y","K","N","H","M","E","D","U"
11202002800,11202,"熊谷市",28,"瀬戸山遺跡","集落跡 古墳群 窯跡 墓 遺物包含地",NA,36.10816882,1,0,1,1,1,0,1,0,0,139.3764805
11202006600,11202,"熊谷市",66,"万吉西浦遺跡","集落跡",NA,36.12238147,1,0,1,0,1,0,1,0,0,139.3642472
11202008900,11202,"熊谷市",89,"下原遺跡","集落跡 墓",NA,36.11149783,1,0,1,1,1,1,1,0,0,139.3645113
11202400100,11202,"熊谷市",1,"甲山古墳","集落跡 古墳（円） 円墳",NA,36.07867649,1,0,1,0,0,0,0,0,0,139.4067317
11202401000,11202,"熊谷市",10,"東山遺跡","集落跡 古墳",NA,36.07827024,1,0,1,0,0,0,0,0,0,139.412198
11202401700,11202,"熊谷市",17,"冑山遺跡","集落跡",NA,36.07842259,1,0,0,0,0,0,0,0,0,139.4063547
11202401800,11202,"熊谷市",18,"北廓遺跡","集落跡 包含層",NA,36.08858217,1,1,0,1,1,0,0,0,0,139.413048
11202402300,11202,"熊谷市",23,"西内手遺跡","集落跡",NA,36.11161831,1,1,0,1,1,0,0,0,0,139.3845456
11202402600,11202,"熊谷市",26,"原南遺跡","集落跡 古墳（円） 円墳",NA,36.10948901,1,0,1,1,1,0,0,0,0,139.3791161
11202404500,11202,"熊谷市",45,"賢木岡東遺跡","集落跡 古墳",NA,36.07768625,1,0,1,0,0,0,0,0,0,139.4093392
11202404600,11202,"熊谷市",46,"桜谷遺跡","集落跡",NA,36.07568035,1,0,0,1,1,0,0,0,0,139.4159994
11202404800,11202,"熊谷市",48,"桜谷東遺跡","集落跡 古墳群",NA,36.07923508,1,0,0,1,1,0,0,0,0,139.4143971
11202405100,11202,"熊谷市",51,"大境遺跡","集落跡 古墳",NA,36.07518801,1,1,1,1,1,0,0,0,0,139.4210091
11202405900,11202,"熊谷市",59,"桜谷北遺跡","集落跡 礫群等",NA,36.07768625,1,0,0,0,0,0,0,0,0,139.4146799
11202500100,11202,"熊谷市",1,"姥ヶ沢遺跡","集落跡 古墳（円）",NA,36.1266084,1,1,1,1,1,0,0,0,0,139.3137242
11202500300,11202,"熊谷市",3,"富士山遺跡","集落跡 古墳",NA,36.12655881,1,0,1,0,0,0,0,0,0,139.3175922
11202500800,11202,"熊谷市",8,"権現坂埴輪窯跡群","集落跡 古墳",NA,36.12521984,1,0,1,0,0,0,0,0,0,139.3220128
11202500900,11202,"熊谷市",9,"権現坂遺跡","集落跡",NA,36.12407922,1,0,0,1,1,0,1,0,0,139.3237933
11202501300,11202,"熊谷市",13,"宮下遺跡","集落跡 古墳",NA,36.12497188,1,0,1,1,1,0,0,0,0,139.3272929
11202501400,11202,"熊谷市",14,"天神谷遺跡","集落跡",NA,36.12006443,1,0,0,1,1,0,0,0,0,139.3193145
11202501500,11202,"熊谷市",15,"南方遺跡","集落跡 城館跡",NA,36.12046119,1,0,0,0,0,1,1,0,0,139.3247174
11202501600,11202,"熊谷市",16,"東原遺跡","散布地",NA,36.1219963,1,0,0,0,0,0,0,0,0,139.3291962
11202501700,11202,"熊谷市",17,"寺内（廃寺）","集落跡 寺院跡",NA,36.11545194,1,0,0,1,1,0,0,0,0,139.3145255
11202501800,11202,"熊谷市",18,"西遺跡","集落跡",NA,36.11636354,1,0,0,1,1,0,0,0,0,139.321069
11202501900,11202,"熊谷市",19,"山神東遺跡","集落跡",NA,36.11774586,1,0,0,0,0,0,0,0,0,139.3239414
11202502100,11202,"熊谷市",21,"萩山遺跡","集落跡",NA,36.11907252,1,0,0,0,0,1,1,0,0,139.3315938
11202502200,11202,"熊谷市",22,"上前原遺跡","集落跡 古墳（円）",NA,36.12254183,1,0,1,0,0,0,0,0,0,139.3386513
11202502400,11202,"熊谷市",24,"代遺跡","寺院跡 城館跡",NA,36.11935992,1,0,0,0,0,1,1,0,0,139.3446942
11202502500,11202,"熊谷市",25,"静簡院遺跡","集落跡 古墳（円） 城館跡",NA,36.11817119,1,0,0,1,1,1,1,0,0,139.3508274
11202502600,11202,"熊谷市",26,"合羽山遺跡","集落跡",NA,36.11629323,1,0,0,0,0,1,1,0,0,139.3488725
11202502700,11202,"熊谷市",27,"成沢上原遺跡","集落跡",NA,36.11680541,1,0,1,1,1,0,0,0,0,139.3543673
11202502800,11202,"熊谷市",28,"向原遺跡","集落跡",NA,36.11341859,1,0,1,0,0,0,0,0,0,139.3580655
11202503000,11202,"熊谷市",30,"天神山遺跡","集落跡 古墳群",NA,36.11726112,1,0,1,0,0,0,0,0,0,139.3653563
11202503100,11202,"熊谷市",31,"松原遺跡","集落跡",NA,36.11598068,1,0,0,0,0,0,0,0,0,139.3646694
11202503200,11202,"熊谷市",32,"鹿島遺跡","集落跡 城館跡",NA,36.10749778,1,1,0,1,1,1,1,0,0,139.3613048
11202503300,11202,"熊谷市",33,"八軒遺跡","集落跡 寺院跡",NA,36.10988816,1,0,0,1,1,1,1,0,0,139.3568138
11202503600,11202,"熊谷市",36,"丸山浦遺跡","集落跡",NA,36.1027121,1,0,1,1,1,1,1,0,0,139.3715169
11202503900,11202,"熊谷市",39,"元境内遺跡","集落跡 古墳群 経塚 寺院跡 城館跡",NA,36.10319473,1,0,1,1,1,1,1,0,0,139.361824
11202504000,11202,"熊谷市",40,"諏訪脇遺跡","集落跡 古墳群 寺院跡",NA,36.10362063,1,0,1,1,1,1,1,0,0,139.3578179
11202504100,11202,"熊谷市",41,"野原宮脇遺跡","集落跡 古墳群 寺院跡",NA,36.1046441,1,0,1,1,1,1,1,0,0,139.3546042
11202504200,11202,"熊谷市",42,"野原古墳群","集落跡 古墳群 寺院跡 戦争遺跡掩体壕",NA,36.10749778,1,0,1,0,0,1,1,0,0,139.3613048
11202504500,11202,"熊谷市",45,"本田・東台遺跡","集落跡 御嶽塚",NA,36.1057732,1,0,1,1,1,0,1,0,0,139.345484
11202504600,11202,"熊谷市",46,"小江川下原遺跡","集落跡",NA,36.10749751,1,0,1,1,1,0,0,0,0,139.3325702
11202504900,11202,"熊谷市",49,"山ノ神遺跡","集落跡",NA,36.10955034,1,0,0,1,1,0,0,0,0,139.3216802
11202505100,11202,"熊谷市",51,"板井中島遺跡","集落跡 城館跡 参道",NA,36.11404317,1,0,0,1,1,1,1,0,0,139.3181356
11202505200,11202,"熊谷市",52,"天神（伊勢）遺跡","集落跡",NA,36.11266078,1,0,0,1,1,1,1,0,0,139.3100686
11202505300,11202,"熊谷市",53,"桜山遺跡","集落跡 古墳",NA,36.11009344,1,0,1,1,1,1,1,0,0,139.3075018
11202505400,11202,"熊谷市",54,"立野遺跡","集落跡 古墳群",NA,36.10801975,1,0,1,1,1,0,0,0,0,139.3078685
11202506000,11202,"熊谷市",60,"塩西遺跡","集落跡 古墳群 城館跡",NA,36.10399585,1,0,1,1,1,1,1,0,0,139.3201129
11202506100,11202,"熊谷市",61,"塩古墳群","集落跡 古墳（方） 前方後方墳",NA,36.10058879,1,0,1,0,0,0,0,0,0,139.3161406
11202506200,11202,"熊谷市",62,"塩新田遺跡","集落跡 古墳",NA,36.09821857,1,0,1,0,0,0,0,0,0,139.3155294
11202506400,11202,"熊谷市",64,"塩丸山遺跡","集落跡 古墳",NA,36.10047805,1,0,1,1,1,1,1,0,0,139.3226848
11202506600,11202,"熊谷市",66,"神田遺跡","集落跡",NA,36.09599549,1,0,1,0,0,0,0,0,0,139.3235302
11202506700,11202,"熊谷市",67,"船川遺跡","集落跡",NA,36.10359435,1,0,1,0,0,0,0,0,0,139.3271229
11202506800,11202,"熊谷市",68,"新山遺跡","集落跡 古墳群 塚",NA,36.1011184,1,0,1,0,0,0,1,0,0,139.3271229
11202507200,11202,"熊谷市",72,"漆畑遺跡","集落跡 古墳",NA,36.10141172,1,0,1,0,0,0,0,0,0,139.3402834
11202507300,11202,"熊谷市",73,"石橋山遺跡","集落跡 古墳群",NA,36.1002591,1,0,1,0,0,0,0,0,0,139.3435063
11202507800,11202,"熊谷市",78,"唐人山遺跡","集落跡 古墳",NA,36.08954318,1,0,1,0,0,0,0,0,0,139.3383813
11202507900,11202,"熊谷市",79,"小堤遺跡","集落跡",NA,36.09214758,1,0,0,0,0,0,0,0,0,139.333045
11202508400,11202,"熊谷市",84,"北方遺跡","墓",NA,36.12288898,1,0,1,0,0,0,0,0,0,139.3200481
11202508500,11202,"熊谷市",85,"千代西原遺跡","集落跡",NA,36.12398003,1,0,0,1,1,1,1,0,0,139.3151364
11207003500,11207,"秩父市",35,"柳田遺跡Ⅰ","集落跡",36.01082284,139.0846117,1,0,1,0,0,0,0,0,0,0
11207008000,11207,"秩父市",80,"橋立岩陰遺跡","その他",35.95734,139.057861,1,1,1,1,0,0,0,0,0,0
11209000100,11209,"飯能市",1,"甲館出遺跡","旧石器 集落跡",35.796041,139.4457242,1,1,0,0,0,1,0,0,0,0
11209000100,11209,"飯能市",1,"甲館出遺跡","旧石器 集落跡",35.796041,139.4457242,1,1,0,0,0,1,0,0,0,0
11209000400,11209,"飯能市",4,"所沢市No.4遺跡","集落跡",35.80917621,139.534067,1,1,1,0,0,0,0,0,0,0
11209000400,11209,"飯能市",4,"所沢市No.4遺跡","集落跡",35.80917621,139.534067,1,1,1,0,0,0,0,0,0,0
11209000700,11209,"飯能市",7,"所沢市No.7遺跡","集落跡",35.7929779,139.4850915,1,1,0,0,0,0,0,0,0,0
11209000700,11209,"飯能市",7,"所沢市No.7遺跡","集落跡",35.7929779,139.4850915,1,1,0,0,0,0,1,0,0,0
11209001000,11209,"飯能市",10,"本郷東上遺跡","集落跡",35.78421615,139.4444639,1,1,0,0,0,0,0,0,0,0
11209001000,11209,"飯能市",10,"本郷東上遺跡","集落跡",35.78421615,139.4444639,1,1,0,0,0,0,0,0,0,0
11209001300,11209,"飯能市",13,"和田遺跡","旧石器 集落跡 散布地",35.78734561,139.4091627,1,1,0,0,0,0,0,0,0,0
11209001300,11209,"飯能市",13,"和田遺跡","旧石器 集落跡 散布地",35.78734561,139.4091627,1,1,0,0,0,0,1,0,0,0
11209001500,11209,"飯能市",15,"所沢市No.15遺跡","散布地",35.78070623,139.4786159,1,1,0,0,0,0,0,0,0,0
11209001500,11209,"飯能市",15,"所沢市No.15遺跡","散布地",35.78070623,139.4786159,1,1,0,0,0,0,0,0,0,0
11209001800,11209,"飯能市",18,"下安松遺跡","集落跡",35.80417455,139.5070262,1,1,0,0,0,0,0,0,0,0
11209001800,11209,"飯能市",18,"下安松遺跡","集落跡",35.80417455,139.5070262,1,1,0,0,0,0,0,0,0,0
11209001900,11209,"飯能市",19,"小岩井渡場遺跡","集落跡",35.86345698,139.2717935,1,1,0,0,0,0,0,0,0,0
11209001900,11209,"飯能市",19,"小岩井渡場遺跡","集落跡",35.86345698,139.2717935,1,1,0,0,0,0,0,0,0,0
11209002100,11209,"飯能市",21,"所沢市No.21遺跡","集落跡",35.7989663,139.4012076,1,1,0,0,0,0,0,0,0,0
11209002100,11209,"飯能市",21,"所沢市No.21遺跡","集落跡",35.7989663,139.4012076,1,1,0,0,0,0,0,0,0,0
11209002400,11209,"飯能市",24,"山下後遺跡","集落跡 古墳",35.79290019,139.3963774,1,1,0,1,0,0,0,0,0,0
11209002400,11209,"飯能市",24,"山下後遺跡","集落跡 古墳",35.79290019,139.3963774,1,1,0,1,0,0,0,0,0,0
11209002500,11209,"飯能市",25,"境窪遺跡","旧石器 集落跡",35.78963723,139.3965093,1,1,0,0,0,0,0,0,0,0
11209002500,11209,"飯能市",25,"境窪遺跡","旧石器 集落跡",35.78963723,139.3965093,1,1,0,0,0,0,0,0,0,0
11209002600,11209,"飯能市",26,"膳棚遺跡","旧石器 集落跡",35.79199329,139.3938907,1,1,0,1,0,0,0,0,0,0
11209002600,11209,"飯能市",26,"膳棚遺跡","旧石器 集落跡",35.79199329,139.3938907,1,1,0,1,0,0,0,0,0,0
11209002700,11209,"飯能市",27,"曽根遺跡","旧石器 集落跡",35.84311208,139.3210099,1,1,0,0,0,0,0,0,0,0
11209002700,11209,"飯能市",27,"曽根遺跡","旧石器 集落跡",35.84311208,139.3210099,1,1,0,0,0,0,0,0,0,0
11209002800,11209,"飯能市",28,"吉野遺跡","集落跡",35.78641093,139.386568,1,1,1,1,0,0,0,0,0,0
11209002800,11209,"飯能市",28,"吉野遺跡","集落跡",35.78641093,139.386568,1,1,1,1,0,0,0,0,0,0
11209003000,11209,"飯能市",30,"尾根遺跡","旧石器 集落跡",35.83529131,139.3084099,1,1,0,0,0,0,0,0,0,0
11209003000,11209,"飯能市",30,"尾根遺跡","旧石器 集落跡",35.83529131,139.3084099,1,1,0,0,0,0,0,0,0,0
11209003100,11209,"飯能市",31,"高峰遺跡","集落跡",35.78936604,139.4071757,1,1,0,1,0,0,0,0,0,0
11209003100,11209,"飯能市",31,"高峰遺跡","集落跡",35.78936604,139.4071757,1,1,0,1,0,0,0,0,0,0
11209003100,11209,"飯能市",31,"三ツ沢遺跡","集落跡",35.83382574,139.3118125,1,1,0,0,0,0,0,0,0,0
11209003100,11209,"飯能市",31,"三ツ沢遺跡","集落跡",35.83382574,139.3118125,1,1,0,0,0,0,0,0,0,0
11209003200,11209,"飯能市",32,"宮前遺跡","集落跡",35.79205773,139.4057321,1,1,1,1,0,0,0,0,0,0
11209003200,11209,"飯能市",32,"宮前遺跡","集落跡",35.79205773,139.4057321,1,1,1,1,0,0,0,0,0,0
11209003300,11209,"飯能市",33,"道間遺跡","集落跡",35.8348079,139.3195757,1,1,0,1,0,1,1,0,0,0
11209003300,11209,"飯能市",33,"道間遺跡","集落跡",35.8348079,139.3195757,1,1,0,1,0,1,0,0,0,0
11209003400,11209,"飯能市",34,"マグサビ遺跡","散布地",35.84022029,139.3148389,1,1,0,0,0,0,1,0,0,0
11209003400,11209,"飯能市",34,"マグサビ遺跡","散布地",35.84022029,139.3148389,1,1,0,0,0,0,0,0,0,0
11209004100,11209,"飯能市",41,"日向遺跡","集落跡",35.7870967,139.4147931,1,1,1,1,1,1,0,0,0,0
11209004100,11209,"飯能市",41,"日向遺跡","集落跡",35.7870967,139.4147931,1,1,1,1,1,1,0,0,0,0
11209004300,11209,"飯能市",43,"砂川遺跡","旧石器 散布地",35.79544285,139.4285968,1,1,0,1,1,1,0,0,0,0
11209004300,11209,"飯能市",43,"砂川遺跡","旧石器 散布地",35.79544285,139.4285968,1,1,0,1,1,1,0,0,0,0
11209004400,11209,"飯能市",44,"白旗塚遺跡","集落跡",35.79733944,139.4242686,1,1,0,0,0,0,0,0,0,0
11209004400,11209,"飯能市",44,"白旗塚遺跡","集落跡",35.79733944,139.4242686,1,1,0,0,0,0,1,0,0,0
11209004600,11209,"飯能市",46,"白旗塚遺跡","旧石器",35.80055742,139.4252506,1,0,0,0,0,0,0,0,0,0
11209004600,11209,"飯能市",46,"白旗塚遺跡","旧石器",35.80055742,139.4252506,1,0,0,0,0,0,1,0,0,0
11209005000,11209,"飯能市",50,"石塚遺跡","集落跡",35.77206381,139.4304191,1,1,0,0,0,0,0,0,0,0
11209005300,11209,"飯能市",53,"","旧石器 散布地",35.78666171,139.4256206,1,1,0,0,0,0,0,0,0,0
11209005300,11209,"飯能市",53,"","旧石器 散布地",35.78666171,139.4256206,1,1,0,0,0,0,0,0,0,0
11209007100,11209,"飯能市",71,"膳棚東遺跡","旧石器 古墳",35.80370301,139.5157141,1,1,0,1,0,0,0,0,0,0
11209007100,11209,"飯能市",71,"膳棚東遺跡","旧石器 古墳",35.80370301,139.5157141,1,1,0,1,0,0,0,0,0,0
11209007200,11209,"飯能市",72,"所沢市No.72遺跡","散布地",35.80514336,139.5169668,1,1,0,0,0,0,0,0,0,0
11209007200,11209,"飯能市",72,"所沢市No.72遺跡","散布地",35.80514336,139.5169668,1,1,0,0,0,0,0,0,0,0
11209007300,11209,"飯能市",73,"武野原遺跡","散布地",35.78465301,139.50636,1,1,0,1,0,0,0,0,0,0
11209007300,11209,"飯能市",73,"武野原遺跡","散布地",35.78465301,139.50636,1,1,0,1,0,0,0,0,0,0
11209007400,11209,"飯能市",74,"上ノ原遺跡","旧石器 散布地",35.86571642,139.3720707,1,0,0,0,0,0,0,0,0,0
11209007400,11209,"飯能市",74,"上ノ原遺跡","旧石器 散布地",35.86571642,139.3720707,1,0,0,0,0,0,0,0,0,0
11209007600,11209,"飯能市",76,"程久保遺跡","散布地",35.79228712,139.482529,1,1,0,0,0,0,0,0,0,0
11209007600,11209,"飯能市",76,"程久保遺跡","散布地",35.79228712,139.482529,1,1,0,0,0,0,0,0,0,0
11209008400,11209,"飯能市",84,"尾渕遺跡","集落跡",35.86137563,139.336223,1,1,0,0,1,1,0,0,0,0
11209009000,11209,"飯能市",90,"市No.90遺跡","旧石器 散布地",35.87526405,139.3602138,1,0,0,0,0,0,0,0,0,0
11209009000,11209,"飯能市",90,"市No.90遺跡","旧石器 散布地",35.87526405,139.3602138,1,0,0,0,0,0,0,0,0,0
11209009000,11209,"飯能市",90,"市No.90遺跡","旧石器 散布地",35.87526405,139.3602138,1,0,0,0,0,0,0,0,0,0
11209009100,11209,"飯能市",91,"所沢市No.81遺跡","散布地",35.79833675,139.4825568,1,1,0,0,0,0,0,0,0,0
11209009100,11209,"飯能市",91,"所沢市No.81遺跡","散布地",35.79833675,139.4825568,1,1,0,0,0,0,0,0,0,0
11209009100,11209,"飯能市",91,"所沢市No.81遺跡","散布地",35.79833675,139.4825568,1,1,0,0,0,0,1,0,0,0
11209009800,11209,"飯能市",98,"所沢市No.98遺跡","旧石器 散布地",35.78019635,139.4355241,1,0,0,0,0,0,0,0,0,0
11209009800,11209,"飯能市",98,"所沢市No.98遺跡","旧石器 散布地",35.78019635,139.4355241,1,0,0,0,0,0,0,0,0,0
11209009800,11209,"飯能市",98,"所沢市No.98遺跡","旧石器 散布地",35.78019635,139.4355241,1,0,0,0,0,0,0,0,0,0
11209009900,11209,"飯能市",99,"所沢市No.99遺跡","旧石器 散布地",35.79755591,139.4124834,1,0,0,0,0,0,0,0,0,0
11209009900,11209,"飯能市",99,"所沢市No.99遺跡","旧石器 散布地",35.79755591,139.4124834,1,0,0,0,0,0,0,0,0,0
11209009900,11209,"飯能市",99,"所沢市No.99遺跡","旧石器 散布地",35.79755591,139.4124834,1,0,0,0,0,0,0,0,0,0
11209010000,11209,"飯能市",100,"所沢市No.100遺跡","旧石器",35.80300126,139.4287721,1,0,0,0,0,0,0,0,0,0
11209010100,11209,"飯能市",101,"所沢市No.101遺跡","集落跡",35.77985467,139.407041,1,1,0,0,1,1,0,0,0,0
11209010100,11209,"飯能市",101,"所沢市No.101遺跡","集落跡",35.77985467,139.407041,1,1,0,0,1,1,0,0,0,0
11209011200,11209,"飯能市",112,"上新井台遺跡","旧石器",35.78879218,139.3945904,1,1,0,0,0,0,0,0,0,0
11209011200,11209,"飯能市",112,"上新井台遺跡","旧石器",35.78879218,139.3945904,1,1,0,0,0,0,0,0,0,0
11209011600,11209,"飯能市",116,"海谷遺跡","集落跡 古墳",35.78620387,139.4048871,1,1,0,1,0,0,0,0,0,0
11209011600,11209,"飯能市",116,"海谷遺跡","集落跡 古墳",35.78620387,139.4048871,1,1,0,1,0,0,0,0,0,0
11209012100,11209,"飯能市",121,"野中遺跡","散布地",35.79496696,139.4216445,1,1,0,1,0,0,0,0,0,0
11209012100,11209,"飯能市",121,"野中遺跡","散布地",35.79496696,139.4216445,1,1,0,1,0,0,0,0,0,0
11209012200,11209,"飯能市",122,"中砂遺跡","散布地",35.77807682,139.4353286,1,1,0,0,0,0,0,0,0,0
11209012200,11209,"飯能市",122,"中砂遺跡","散布地",35.77807682,139.4353286,1,1,0,0,0,0,0,0,0,0
11209012800,11209,"飯能市",128,"後内手遺跡","集落跡",35.79066947,139.4235614,1,1,0,1,0,0,0,0,0,0
11209012800,11209,"飯能市",128,"後内手遺跡","集落跡",35.79066947,139.4235614,1,1,0,1,0,0,0,0,0,0
11209014300,11209,"飯能市",143,"所沢市No.143遺跡","散布地",35.78495774,139.4965223,1,1,1,0,0,0,0,0,0,0
11209014300,11209,"飯能市",143,"所沢市No.143遺跡","散布地",35.78495774,139.4965223,1,1,1,0,0,0,0,0,0,0
11209015300,11209,"飯能市",153,"所沢市No.153遺跡","散布地",35.7897587,139.5096151,1,0,0,0,0,0,0,0,0,0
11209015300,11209,"飯能市",153,"所沢市No.153遺跡","散布地",35.7897587,139.5096151,1,0,0,0,0,0,0,0,0,0
11209015700,11209,"飯能市",157,"城西ノ上遺跡","旧石器",35.80790145,139.5261042,1,1,0,0,0,0,0,0,0,0
11209015700,11209,"飯能市",157,"城西ノ上遺跡","旧石器",35.80790145,139.5261042,1,1,0,0,0,0,0,0,0,0
11209016000,11209,"飯能市",160,"駿河台遺跡","散布地",35.79738116,139.5253803,1,1,0,0,0,1,0,0,0,0
11209016000,11209,"飯能市",160,"駿河台遺跡","散布地",35.79738116,139.5253803,1,1,0,0,0,1,0,0,0,0
11209016100,11209,"飯能市",161,"ハケ遺跡","集落跡",35.80143852,139.5320532,1,1,0,0,0,0,0,0,0,0
11209016100,11209,"飯能市",161,"ハケ遺跡","集落跡",35.80143852,139.5320532,1,1,0,0,0,0,0,0,0,0
11215007000,11215,"狭山市",70,"東久保遺跡","集落跡",35.8658041,139.3778318,1,0,0,0,0,0,0,0,0,0
11215007800,11215,"狭山市",78,"下双木遺跡","集落跡",35.87993713,139.3967765,1,0,0,0,0,0,0,0,0,0
11218601200,11218,"深谷市",12,"","集落跡",NA,36.12303425,1,0,0,0,0,0,0,0,0,139.2228889
11218601300,11218,"深谷市",13,"橋屋遺跡","集落跡",NA,36.12101428,1,0,0,0,0,0,0,0,0,139.2231617
11218602000,11218,"深谷市",20,"","",NA,36.12086737,1,0,0,0,0,0,0,0,0,139.2265262
11218603700,11218,"深谷市",37,"上南原遺跡","集落跡",NA,36.12586652,1,0,0,0,0,0,0,0,0,139.2466976
11218603800,11218,"深谷市",38,"","集落跡",NA,36.12785498,1,0,0,0,0,0,0,0,0,139.2543105
11218603900,11218,"深谷市",39,"宮台遺跡I","集落跡",NA,36.13020007,1,0,0,0,0,0,0,0,0,139.2555952
11218604000,11218,"深谷市",40,"宮台遺跡II","集落跡",NA,36.13020007,1,0,0,0,0,0,0,0,0,139.2529121
11218604200,11218,"深谷市",42,"","散布地",NA,36.13461819,1,0,1,0,0,0,0,0,0,139.2444796
11218604300,11218,"深谷市",43,"西上遺跡","集落跡",NA,36.13615844,1,0,0,0,0,0,0,0,0,139.2474137
11218604400,11218,"深谷市",44,"東大塚遺跡","集落跡",NA,36.13855763,1,0,1,1,1,0,0,0,0,139.2420223
