JASID,LGC,市町村番号,遺跡番号,遺跡名,種別,備考,旧石器,縄文,弥生,古墳,奈良,平安,鎌倉,南北朝,室町,戦国,江戸,不明,経度,緯度
11361000400,11361,48,4,宇根遺跡,集落跡,,,1,,,,,,,,,,,139.10057721485000,35.987985318860000
11361002900,11361,48,29,熊ん堂遺跡,集落跡,,,1,,,,,,,,,,,139.10057721485000,35.987985318860000
11361002100,11361,48,21,,集落跡,,,1,,,1,1,,,,,,,139.10057721485000,35.987985318860000
11361000500,11361,48,5,明智遺跡,集落跡,,,1,,,,,,,,,,,139.1023953872350,35.98421805462640
11361000300,11361,48,3,寺坂遺跡,集落跡 その他,,,,,,,,,,1,,,,139.10728752730000,35.98979125734990
11361000200,11361,48,2,経塚,経塚,,,,,,,1,,,,,,,139.09338295576700,35.98945790856080
11361002600,11361,48,26,一本木遺跡,集落跡,,,1,,,,,,,,,,,139.09990363922500,35.990147454582100
11361000100,11361,48,1,朝日長者屋敷跡,その他,,,,,,,,,,,,,,139.09451592059300,35.99520797430730
11361001500,11361,48,15,武甲山山頂遺跡,祭祀,,,,,,,,,,1,1,1,,139.09772566896800,35.951364270468200
11361003600,11361,48,36,野栗権現社東遺跡,集落跡,,,1,,,,,,,,,,,139.11114440531100,35.980653122333400
11361001700,11361,48,17,伝万福寺跡,寺院跡,,,,,,,,1,,,,,,139.0953172249150,35.99659849812220
11361001900,11361,48,19,,集落跡,,,1,,,,,,,,,,,139.09723983246800,35.997931763597900
11361001100,11361,48,11,横瀬六郎左衛門屋敷,その他,,,,,,,,,,,,,,139.1061662240700,35.98787616656390
11361001800,11361,48,18,敷地遺跡,集落跡,,,1,,,,,,,,,,,139.10331664547400,36.00395895104250
11361004100,11361,48,41,生の谷遺跡,集落跡,,,1,,,,,,,,,,,139.13436017501300,35.98167909010990
11361004200,11361,48,42,田端遺跡,集落跡,,,,,,,,,,,,,,139.1373007758920,35.97807221826570
11361004300,11361,48,43,大畑遺跡,集落跡,,,1,,,,,,,,,,,139.14339172519800,35.977081826615100
11361004400,11361,48,44,長淵城址,城跡,,,,,,,,1,1,,,,,139.16186854080500,35.95828200806400
11361003300,11361,48,33,後田遺跡,集落跡,,,1,,,,,,,,,,,139.1097970033600,35.98528488773000
11361003900,11361,48,39,西善寺裏遺跡,集落跡,,,1,,,1,1,,,,,,,139.10818731686400,35.97376060422660
11361003100,11361,48,31,おきうね遺跡,集落跡,,,1,,,,,,,,,,,139.10057721485000,35.987985318860000
11361002700,11361,48,27,諏訪宮遺跡,集落跡,,,1,,,1,1,,,,,,,139.10283148111700,35.98840174738350
11361003400,11361,48,34,花井東遺跡,集落跡,,,1,,,,,,,,,,,139.11149291087600,35.98398594371590
11361000600,11361,48,6,,経塚,,,1,,,,,,,,,,,139.10364446443100,35.98324825400240
11361004500,11361,48,45,中野遺跡,集落跡,,,1,,,,,,,,,,,139.1092062926510,35.97282958191260
11361000700,11361,48,7,花井遺跡,集落跡,,,,,,,,,,,,,,139.11057958366700,35.98238703016890
11361000900,11361,48,9,根古屋城跡,城跡,,,,,,,,,,,,,,139.11347448714300,35.97414958855470
11361001000,11361,48,10,古御嶽城跡,城跡,,,,,,,,,,,1,,,139.1116452763610,35.964420032299800
11361003500,11361,48,35,平久遺跡,,,,1,,,1,1,,,,,,,139.11267508737200,35.97970238318810
11361003700,11361,48,37,,集落跡,,,1,,,,,,,,,,,139.10931052464500,35.9776742307526
11361002800,11361,48,28,,集落跡,,,1,,,,,,,,,,,139.09586203013000,35.98431805865530
11361003000,11361,48,30,宇根八坂神社周辺遺跡,集落跡,,,1,,,,,,,,,,,139.10057721485000,35.987985318860000
11361001600,11361,48,16,稗島遺跡,集落跡,,,1,,,,,,,,,,,139.10904169434900,36.004701120624900
11361001300,11361,48,13,秩父絹発祥地城谷沢の井,その他,,,,,,,,,,,,,,139.1091486196580,35.97501090281160
11361001400,11361,48,14,西善寺のコミネカエデ,その他,,,,,,,,,,,,,,139.10832464583500,35.97303820088580
11361002400,11361,48,24,語歌遺跡,集落跡,,,1,,,1,1,,,,,,,139.10550099645900,35.99949832541390
11361002300,11361,48,23,持田が沢遺跡,集落跡,,,1,,,,,,,,,,,139.1083162433030,36.00091486638550
11361004000,11361,48,40,城谷遺跡,集落跡,,,1,,,,1,,,,,,,139.11089956648900,35.97378838843080
11361002000,11361,48,20,三角遺跡,集落跡,,,1,,,,1,,,,,,,139.09981475312200,35.99504299298280
11361003200,11361,48,32,天神森遺跡,集落跡,,,1,,,,,,,,,,,139.10801565614200,35.98481811441560
11361001200,11361,48,12,武甲山石灰岩特殊植物群落,その他,,,1,,,,,,,1,1,,,139.09815389162100,35.956462228089400
11361002500,11361,48,25,,集落跡,,,1,,,1,1,,,,,,,139.10057721485000,35.987985318860000
11361000800,11361,48,8,上の原遺跡,集落跡,,,1,,,,,,,,,,,139.08771382770800,35.98284481199210
11361003800,11361,48,38,けんむし坂上遺跡,集落跡,,,1,,,,,,,,,,,139.11051798061900,35.976700222352000
11361002200,11361,48,22,山口遺跡,集落跡,,,1,,,,,,,,,,,139.10924768747700,36.002506964340600